jahr,date,titel,titelEN,text,textEN,extra,extraEN,link,kategorie
1813,,"Napoleon der ""Teufel""","Napoleon the ""Devil""","In einem Brief von 1813 beschreibt er bildhaft die Armee Napoleons als „Satans finstre Heerschaaren“, die von den „himmlischen Mächten [...] ins alte Graus, zur ewigen Nacht der Hölle zurückgeschleudert werden“ müssten","In a letter dated 1813, the crown prince pictorially describes Napoleon's Grande Armée as ""Satan's sinister hosts"" that need to be ""hurled back into the old horror, the eternal night of hell, by heavenly forces"" ","Das Übel der Zeit sah Friedrich Wilhelm in der Französischen Revolution und der nachfolgenden Herrschaft Napoleons. Auch nach dem Sieg über Napoleon bleibt die Furcht vor dem apokalyptischen „Thier par excellence“, der Revolution. Friedrich Wilhelm setzt Napoleon direkt mit dem „Teufel“ gleich. So denunzierte er Napoleon Bonaparte und ab 1848 dessen Neffen Napoleon III. immer wieder als „Satan“ oder „Höllenkaiser“. Die Zeichnungen zum Weltgericht, zur Sintflut oder die immer wiederkehrenden Kompositionen, in denen der Erzengel Michael als furorverbreitender Teufelsbezwinger auftritt, können unter dem Aspekt der realen Furcht Friedrich Wilhelms vor weltumstürzenden politischen Begebenheiten gesehen werden.
","Frederick William saw the evils of the time in the French Revolution and the subsequent rule of Napoleon. Even after the victory over Napoleon, his fear of the apocalyptic ""beast par excellence"", the revolution, endured. Frederick William equates Napoleon with the ""devil"". He denounced Napoleon Bonaparte, and from 1848 onwards his nephew Napoleon III, repeatedly as ""Satan"" or ""Emperor from hell"". His drawings of the doomsday, the flood, or the recurring compositions in which the archangel Michael appears as a furore-spreading devil slayer, can be seen from the perspective of Frederick William's actual fear of world-shaking political events.
",,Politisches - Militärisches - Revolutionäres
1814,,Abdankung Napoleons,Abdication of Napoleon,Besetzung von Paris durch die Koalitionsarmee am 31. März 1814 und Abdankung Napoleons,Occupation of Paris by the Coalition Army on 31 March 1814 and abdication of Napoleon,"Die Schlacht bei Paris fand am 30. März 1814 östlich von Paris statt und war die letzte Schlacht des Winterfeldzuges 1814. Nach der Besetzung von Paris dauerte es noch bis zum 13. April 1814, bis Napoleon den Abdankungsvertrag unterschrieb. Am 20. April 1814 reiste er ins Exil nach Elba ab.","The Battle of Paris was fought east of Paris on March 30, 1814 and was the final battle of the winter campaign. After the occupation of Paris it took until April 13 until Napoleon signed the abdication contract. He departed into exile to the isle of Elba on April 20, 1814.",https://de.wikipedia.org/wiki/Schlacht_bei_Paris,Politisches - Militärisches - Revolutionäres
1814,,Im Pariser Atelier des Staatsarchitekten,In the state architect's studio in Paris,Im April 1814 verbrachte Friedrich Wilhelm die Wochen nach dem Einzug der Koalitionsarmee in Paris und besuchte unter anderem das Atelier des Staatsarchitekten Napoleons,"After the invasion of the Coalition Army in April 1814, Frederick William spends some weeks in Paris and visits among others the studio of Napoleon's state architect","Pierre-François-Léonard Fontaine, der Staatsarchitekt Napoleons, führte Zar Alexander I. und Friedrich Wilhelm III. mit seinen beiden ältesten Söhnen durch die Tuilerien und den Louvre mit dem Musée Napoléon. So beeindruckend der Besuch des Musée Napoléon mit seinen aus ganz Europa nach Paris verschleppten Kunstwerken gewesen sein muss, der Kontakt zu Fontaine und die sich 1814 und 1815 anschließenden Besuche im Atelier des Architekten war für die künstlerische Entwicklung Friedrich Wilhelms wesentlich bedeutender. Von Fontaine erhielt Friedrich Wilhelm 1814/1815 in Paris das historische Rüstzeug und den ideellen Rahmen vermittelt, in dem er in den folgenden Jahren und Jahrzehnten im Alleingang wie in Zusammenarbeit mit Schinkel seine architektonischen Projekte für Potsdam und Berlin entwickelte.","Pierre-François-Léonard Fontaine, the state architect of Napoleon, guided Tsar Alexander I and Frederick William III with his two eldest sons through the Tuileries Gardens and the Louvre with the Musée Napoléon. As impressive as the visit of the Musée Napoléon with its artworks from all over Europe must have been, the contact with Fontaine and the subsequent visits in 1814 and 1815 to the architect's studio were significantly more important for the artistic development of Frederick William. During the visits to Paris in 1814/1815, Fontaine conveyed the historical knowledge and the ideological paradigms that served as the basis on which Frederick William developed his architectural projects for Potsdam and Berlin in the subsequent years and decades, either single-handedly or in collaboration with Schinkel.",,Künstlerisches - Architektonisches - Religiöses
1814-1815,18.09.1814 - 09.06.1815,Wiener Kongress,Congress of Vienna,Nach der Niederlage Napoleon Bonapartes wurde Europa auf dem Wiener Kongress neu geordnet,"After Napoleon Bonaparte is defeated, Europe is reorganized at the Congress of Vienna","Nachdem sich die politische Landkarte des europäischen Kontinentes im Gefolge der Französischen Revolution erheblich verändert hatte, legte der Kongress wiederum zahlreiche Grenzen neu fest und schuf neue Staaten. Friedrich Wilhelm wurde zwar auch über Details unterrichtet, war aber von aktiver Teilnahme ausgeschlossen und verfolgte von Berlin aus die Verhandlungen des Wiener Kongresses.","After the political map of the European continent had changed considerably in the wake of the French Revolution, the Congress of Vienna redeclared many borders and created new states. Even though Frederick William was notified about details, he was excluded from active participation and only followed the proceedings of the Congress of Vienna from Berlin",https://de.wikipedia.org/wiki/Wiener_Kongress,Politisches - Militärisches - Revolutionäres
1815,18.06.1815,Schlacht bei Waterloo,Battle of Waterloo,Endgültige Niederlage Napoleons in der Schlacht bei Waterloo,Final defeat of Napoleon at the Battle of Waterloo,"Während der Wiener Kongress noch tagte, kehrte Napoleon aus seinem Exil von der Insel Elba zurück und übernahm erneut die Herrschaft, ehe er bei Waterloo endgültig geschlagen wurde. ",Napoleon returnes from his exile on the island of Elba while the Congress of Vienna still meets. He resumes his rule and is finally defeated at Waterloo the same year.,https://de.wikipedia.org/wiki/Schlacht_bei_Waterloo,Politisches - Militärisches - Revolutionäres
1815,,Idee zu Belriguardo,Concept for Belriguardo,In einem Entwurf vom September 1815 dürfte das nie umgesetzte Bauprojekt Schloss Belriguardo seinen Ursprung haben,"In a draft of September 1815, the never implemented construction project Castle Belriguardo may have its origin","1815, nach der endgültigen Niederlage Napoleons, ist Friedrich Wilhelm erneut im Atelier des Architekten Fontaine. Fontaine bringt das Gespräch auf den Ruhm und die Ehre, die ein Herrscher durch Bauen weit stärker als durch gewonnene Schlachten erringen kann. Eine Idee, die Friedrich Wilhelm unter anderem mit seinem nie vollendeten Bauprojekt Schloss Belriguardo verfolgte. Belriguardo, ein monumentaler Schlossbau auf der bei Potsdam gelegenen Halbinsel Tornow, war vom Kronprinzen als Gegenpol zum Schloss Sanssouci gedacht. Belriguardo blieb zwar nur eine Vision, an ihr lässt sich dennoch das gesteigerte Selbst- und Standesbewusstsein des Kronprinzen als zukünftiger preußischer König deutlich ablesen. Mit dem Schloss Belriguardo beschäftigte Friedrich Wilhelm sich in den folgenden Jahren intensiv.","In 1815, after the final defeat of Napoleon, Frederick William visits the studio of the architect Fontaine again. In their conversations, Fontaine mentions that a monarch can gain much more glory and honor by erecting buildings, than by being victorious in battles. An idea that stuck to Frederick William and that he then pursued among others with his never-completed construction project Castle Belriguardo. Belriguardo, a monumental palace located on the peninsula Tornow near Potsdam, was intended to become a counterpoint to the Sanssouci Palace. Although Belriguardo remained only a vision, it clearly demonstrates the increased self awareness and class consciousness of the crown prince who was about to become King of Prussia. Frederick William worked intensively on the castle Belriguardo in the follwing years.",,Künstlerisches - Architektonisches - Religiöses
1816-1817,,"Friedrich Wilhelm verfasst ""Die Königin von Borneo""","Friedrich Wilhelm writes ""The Queen of Borneo""",Der endgültige Sieg über das napoleonische Frankreich im Jahre 1815 bildet den Hintergrund des Briefromans,The final victory over Napoleon in 1815 serves as the setting for the epistolary novel,"Im Briefwechsel mit seiner Schwester Charlotte offenbarte Friedrich Wilhelm in exotischer Verklärung sowohl seine persönliche Befindlichkeit wie seine Vorstellungen von Deutschland und der Welt. Er bediente sich des Phantoms „Borneo“, um die aktuellen Vorgänge in der europäischen und Weltpolitik und ihre zu erwartenden Folgen für die Entwicklung der Staaten in Deutschland in seiner Gedankenwelt und in seinen Vorstellungen zu verarbeiten. Unter den in der Graphischen Sammlung der Stiftung Preußische Schlösser und Gärten in Potsdam bewahrten Zeichnungen Friedrich Wilhelms IV. befinden sich 25 Blatt, die als Illustrationen der Novelle ""Die Königin von Borneo"" zugeordnet wurden.","In correspondence with his sister Charlotte, Frederick William disclosed both his mental state and his ideas on Germany and the world in exotic glorification. He used the phantom ""Borneo"" to mentally process the current developments in European and world politics and, according to his vision, their likely consequences for the development of states in Germany. There are 25 preserved sheets penned by Frederick William IV that have been identified as illustrations of the epistolary novel ""The Queen of Borneo"", all of them are part of the collection of prints and drawings of the Prussian Palaces and Gardens Foundation Berlin-Brandenburg.",https://de.wikipedia.org/wiki/Die_K%C3%B6nigin_von_Borneo,Künstlerisches - Architektonisches - Religiöses
1817,,Gründung des Staatsrates,Establishment of the State Council,Der Preußische Staatsrat war von 1817 bis 1918 ein Beratungsgremium der Krone Preußen,"From 1817 until 1918, the Prussian State Council was an advisory board of the Prussian Crown","Der Kronprinz gehörte dem Staatsrat seit dessen Gründung 1817 an. Abschweifend von den politischen Verhandlungsgegenständen des Gremiums schuf er Zeichnungen und Skizzen auch während der Sitzungen. Seine Zeichnungen fertigte er durchaus auch auf Tagesordnungen, Vortragsverzeichnissen oder Briefen an.","The crown prince was part of the Prussian State Council ever since its foundation in 1817. Digressing from the political agenda of the committee, he created drawings and sketches also during the meetings. He actually drew on agendas, presentation folders, or letters.",https://de.wikipedia.org/wiki/Preu%C3%9Fischer_Staatsrat,Politisches - Militärisches - Revolutionäres
1820-1845,,Stadtgestaltung Berlin,Urban planning Berlin,"Ab den 1820er Jahren, verstärkt dann in den 1830er Jahren und in den ersten Jahren nach seiner Thronbesteigung 1840 beschäftigte Friedrich Wilhelm IV. sich intensiver mit Entwürfen und Projekten für Berlin","Frederick William engages in urban planning projects in Berlin starting in the 1820ies, then even more intensely in the 1830ies and the years after his accession to the throne in 1840","Hierzu gehören die Planungen zum Schloss, vor allem zum Neubau des Domes, zum Museumsbau am Lustgarten und zum Palais des Prinzen Wilhelm Unter den Linden. Neben Panoramen von Berlin sind es vor allem Platzgestaltungen und Stadterweiterungen, mit denen Friedrich Wilhelm IV. sich befasst. ","This includes the planning of the castle, especially to rebuild the cathedral, the museum at the Lustgarten and the palace of Prince William at Unter den Linden. In addition to panoramas of Berlin, it is mainly square designs and urban extensions that Frederick William IV is concerned with.",,Künstlerisches - Architektonisches - Religiöses
1823,29.11.1823,Heirat,Marriage,"Vermählung mit der Prinzessin Elisabeth Ludovika von Bayern, die Ehe bleibt kinderlos","Frederick William marries Elisabeth Ludovika of Bavaria, their marriage remains childless","Um endlich zu heiraten, hatte Friedrich Wilhelm am bayerischen Hof in der Prinzessin Elisabeth die Richtige gefunden, welche aber, laut preußischem Erbfolgerecht, als Katholikin die Falsche war. Sie fanden einen Kompromiss, nach dem Elisabeth ihre Konfession zwar (zunächst) beibehalten sollte, sich aber verpflichtete, Unterricht in den protestantischen Glaubenslehren zu nehmen, und überdies Zurückhaltung im Praktizieren des Katholizismus versprach. 1830 trat sie schließlich zur Evangelischen Kirche über. ","With Elisabeth Ludovika of Bayern, Frederick William had finally found the right woman to marry. However, according to the Prussian law of succession, as a Catholic she was not the right candidate. They came to a compromise; Elisabeth was allowed to keep her denomination, but agreed to take lessons in the Protestant doctrines, and also promised restraint in practicing Catholicism. In 1830 she eventually converted to the Protestant Church nonetheless.",https://de.wikipedia.org/wiki/Elisabeth_Ludovika_von_Bayern,Lebensdaten - Persönliches - Prägendes
1824-1828,,Gestaltung seines Arbeits- und Wohnzimmers,Design of study and living room,Sein Arbeits- und Wohnzimmer in der Erasmuskapelle im Berliner Schloss ließ der Kronprinz nach eigenen Entwürfen von Karl Friedrich Schinkel einrichten,The crown prince had his study and living room in the Erasmus chapel in the Berlin castle furnished by Karl Friedrich Schinkel to his very own designs,"Zwischen 1824 und 1828 nahm Friedrich Wilhelm mit zahlreichen Zeichnungen konstruktiv Einfluss auf die Gestaltung und Ausstattung dieses Raumes. Religion diente als Grundlage für die staatspolitischen Auffassungen Friedrich Wilhelms. Die Wahl der Erasmuskapelle als Arbeits- und Wohnzimmer zeigt, wie sehr Friedrich Wilhelm vom Gottesgnadentum seiner Herrschaft überzeugt war und dass er sich vom Glauben an Gott in seinem täglichen politischen Tun leiten lassen wollte. ","Between 1824 and 1828, Frederick William constructively exerted influence on the design and furniture of his room with numerous drawings. Religion was the basis for the political conceptions of Frederick William. Choosing the Erasmus Chapel as his study and living room shows how much Frederick William was convinced of the divine right of his rule and that he wanted to be guided in his daily political action by the faith in God.",,Künstlerisches - Architektonisches - Religiöses
1825,24.12.1825,Vater schenkt ihm das Gut Charlottenhof,Receives Charlottenhof estate,Der Kronprinz erhielt das südlich von Sanssouci gelegene Gut Charlottenhof zu Weihnachten geschenkt,The crown prince receives the Charlottenhof estate south of Sanssouci as a Christmas gift from his father,"Auf dem Gut Charlottenhof konnte Friedrich Wilhelm nun seine privaten Architektur- und Gartenträume im Rahmen seiner finanziellen Möglichkeiten verwirklichen. Der Kronprinz wollte sich mit Charlottenhof seine Vorstellung eines Ideals – dem Landleben in einer in eine südländische Landschaft eingebetteten Villa – verwirklichen. Die Planungen Friedrich Wilhelms, an denen der Gartendirektor Peter Joseph Lenné, der Hofgärtner Hermann Sello und die Architekten Karl Friedrich Schinkel und Ludwig Persius beteiligt wurden, begannen vermutlich bereits vor dem Kauf und lassen sich bis in die erste Hälfte der 1840er Jahre verfolgen.","On the Charlottenhof estate Frederick William could now realize his private architectural and garden dreams within his financial possibilities. With Charlottenhof the crown prince wanted to realize his conception of ​​an ideal - the country life of a villa embedded in a Mediterranean landscape. The plans of Frederick William, in which the garden director Peter Joseph Lenné, the court gardener Hermann Sello, the architects Karl Friedrich Schinkel and Ludwig Persius were involve, began probably already before buying the estate and can be traced to the first half of the 1840s.",,Lebensdaten - Persönliches - Prägendes
1828,,Erste Italienreise,First journey to Italy,"Von September bis Dezember bereist Friedrich Wilhelm das erste Mal Italien, der Kronprinz sammelt zahlreiche künstlerische und architektonische Eindrücke","From September to December, Frederick William travels to Italy for the first time; the crown prince collects numerous artistic and architectural impressions","Die antiken Kaiserforen in Rom dienten als Vorbilder für einen Entwurf für die Passage zwischen dem Schlossplatz und dem Werderschen Markt. In Potsdam sollte ein Friedrichtempel nach dem Vorbild des Tempels der Venus und Roma vom Forum in Rom, eine Anlage nach dem Vorbild des Augustusforum und ein Ehrenfeld entstehen. Weder die Passage noch die Potsdamer Planungen wurden
ausgeführt. In die arkadischen und südlich geprägten Phantasielandschaften, die Friedrich Wilhelm in den 1820er Jahren zeichnete, flocht er oftmals existierende Bauten ein. Das von Altro Arno aus gesehene Florenz mit Dom und Domkuppel gehörte dabei zu den beliebten Motiven.","The ancient forums in Rome served as models for a design of the passage between the Palace Square and the Werder market. In Potsdam, a Frederick temple modeled after the Temple of Venus and Roma, a space modeled after the Forum of Augustus and a field of honor was intended to be built. Neither the passage nor the Potsdam plans were
executed. In the Arcadian and south embossed fantasy landscapes that drew Friedrich Wilhelm in the 1820s, he often wove existing buildings. The Florence Cathedral seen from Altro Arno belonged to the popular designs.",,Lebensdaten - Persönliches - Prägendes
1830,,Julirevolution,July Revolution,Durch eine erneute Revolution in Frankreich entstanden Unruhen und Reformen in vielen Ländern Deutschlands und Europas,"Sparked by a resuming revolution in France, riots and reforms also emerged in many countries of Germany and Europe","1815, nach der endgültigen Niederlage Napoleons, erhielt Preußen im Rahmen der Neuaufteilung Europas beim Wiener Kongress mit dem Rheinland und Westfalen große Gebiete im Westen zugesprochen. Durch die Julirevolution 1830 kamen Spannungen zwischen der katholischen Kirche im Rheinland und dem preußischen Staat zu tragen und machten die katholische Bevölkerung politisch bewusst.","In 1815, after the final defeat of Napoleon, Prussia received under the redivision of Europe by the Congress of Vienna the Rhineland and Westphalia. Through the July Revolution in 1830 tensions arose between the Catholic Church in the Rhineland and the Prussian state, making the Catholic population politically conscious.",,Politisches - Militärisches - Revolutionäres
1833,,Rheinische Kulturlandschaft,Rhenish cultural landscape,"Auseinandersetzung mit dem kulturellen Erbe des Rheinlandes mit dem Ziel, die Integration des 1815 Preußen zugesprochenen Rheinlandes voranzutreiben",The crown prince engages with the cultural heritage of the Rhineland with the aim of promoting its integration into Prussia after it was annexed in 1815,"Die von der Julirevolution angefachten Unruhen in Europa führten auch zu Spannungen zwischen der katholischen Kirche im Rheinland und dem preußischen Staat. Friedrich Wilhelm wollte durch die Wiederherstellung geschichtlich bedeutsamer Bauten seinen eigenen baukünstlerischen Vorstellungen Ausdruck verleihen und zugleich einen Beitrag zur kulturpolitischen Integration des Rheinlandes in den preußischen Staatsverband leisten. Somit war der Moment gekommen, seine Verbundenheit mit den rheinischen Baudenkmälern in eine konkrete baupolitische Strategie umzusetzen.","The unrest in Europe fanned by the July revolution also led to tensions between the Catholic Church in the Rhineland and the Prussian state. Frederick William wanted to impart his own architectural ideas through the restoration of historically important buildings, while making a contribution to the cultural and political integration of the Rhineland in the Prussian state association. Thus, the moment had come to implement his connection with the Rhine monuments into a concrete building-political strategy.",,Künstlerisches - Architektonisches - Religiöses
1835,,Zweite Italienreise,Second journey to Italy,Diesmal reist Friedrich Wilhelm in Begleitung seiner Frau,This time Frederick William is accompanied by his wife,Das Kronprinzenpaar besucht auf seiner Reise unter anderem Oberitalien und Venedig.,"On their journey, the royal couple visited among other Northern Italy and Venice.",,Lebensdaten - Persönliches - Prägendes
1840,07.06.1840,Tod des Vaters,Death of his father,König Friedrich Wilhelm III. stirbt in Berlin,King Frederick William III dies in Berlin,"Nach dem Tod des Vaters entstand bei Friedrich Wilhelm IV. der Plan, das Mausoleum im Park des Charlottenburger Schlosses, welches vom Vater nach dem Tod seiner Frau, Königin Luise von Preußen, 1810-1812 errichtet wurde, für die Aufnahme des Sarkophages zu erweitern. Erste Pläne dazu stammen noch von Schinkel. Diese Änderung des Mausoleums geht auf eine Idee Friedrich Wilhelms IV. zurück, von dem zwei Grundrissskizzen überliefert sind. Die Umsetzung erfolgte in den Jahren 1841/1842. ","After the death of his father, Frederick William IV started to plan the expansion of the mausoleum in the park of Charlottenburg Palace for the inclusion of the sarcophagus. The mausoleum was built 1810-1812 by the father after the death of his wife, Queen Louise of Prussia. The initial plans were done by Schinkel. This change of the mausoleum dates back to an idea of ​​Frederick William IV, of which two floor plan sketches still exist. The implementation took place in the years 1841/1842.",,Lebensdaten - Persönliches - Prägendes
1840,07.06.1840,Thronbesteigung,Accession,König Friedrich Wilhelm IV. besteigt den Thron,King Frederick William IV ascends the throne,"Die Thronbesteigung Friedrich Wilhelms IV. war im liberalen und patriotischen Lager mit großen Erwartungen verknüpft. Den Hoffnungen schien Friedrich Wilhelm zunächst zu entsprechen, als er als erster preußischer König vor zehntausenden Zuschauern öffentliche Reden hielt.",The accession of Frederick William IV was linked with great expectations in the liberal and patriotic camp. Frederick William seemed to meet these hopes when he gave public speaches as the first Prussian king before tens of thousands of spectators.,https://de.wikipedia.org/wiki/Friedrich_Wilhelm_IV.#Die_Regierung_Friedrich_Wilhelms_IV.,Lebensdaten - Persönliches - Prägendes
